"",property,raw material 1,raw material 2,raw material 3,temperature,time
property,1.0,-0.893330569574151,-0.23657630562117757,0.9542574944505547,0.05283435165336834,-0.23086106077064944
raw material 1,-0.8933305695741511,1.0,-0.10854197117649897,-0.9371521589123933,-0.09533485968575113,0.2247682514934771
raw material 2,-0.2365763056211776,-0.10854197117649897,0.9999999999999999,-0.24513913849788083,0.030915651652701475,-0.18533469027794544
raw material 3,0.9542574944505546,-0.9371521589123932,-0.24513913849788083,1.0,0.08212407494662352,-0.15415370572138237
temperature,0.05283435165336833,-0.09533485968575113,0.030915651652701475,0.08212407494662352,1.0,0.49940100105347274
time,-0.23086106077064944,0.22476825149347712,-0.18533469027794544,-0.15415370572138234,0.4994010010534728,1.0
