,property,raw material 1,raw material 2,raw material 3,temperature,time
property,1.0,-0.8933305695741511,-0.2365763056211777,0.954257494450555,0.05283435165336833,-0.23086106077064936
raw material 1,-0.8933305695741511,1.0,-0.10854197117649893,-0.9371521589123936,-0.09533485968575113,0.22476825149347704
raw material 2,-0.2365763056211777,-0.10854197117649893,1.0,-0.2451391384978809,0.03091565165270128,-0.18533469027794547
raw material 3,0.954257494450555,-0.9371521589123936,-0.2451391384978809,1.0,0.08212407494662366,-0.1541537057213824
temperature,0.05283435165336833,-0.09533485968575113,0.03091565165270128,0.08212407494662366,1.0,0.4994010010534726
time,-0.23086106077064936,0.22476825149347704,-0.18533469027794547,-0.1541537057213824,0.4994010010534726,1.0
